"","BRT.Open","BRT.High","BRT.Low","BRT.Close","BRT.Volume","BRT.Adjusted"
"2010-01-04",5.12,5.12,4.87,4.95,8900,4.95
"2010-01-05",4.94,5.14,4.81,4.92,22100,4.92
"2010-01-06",4.89,4.99,4.86,4.89,9800,4.89
"2010-01-07",4.97,5.15,4.84,4.9,47200,4.9
"2010-01-08",4.81,5,4.81,4.91,18200,4.91
"2010-01-11",4.95,4.96,4.79,4.93,82300,4.93
"2010-01-12",4.92,5.1,4.86,4.87,40800,4.87
"2010-01-13",4.83,5.03,4.83,4.96,45800,4.96
"2010-01-14",4.9,4.96,4.82,4.84,38900,4.84
"2010-01-15",4.84,4.99,4.8,4.8,41800,4.8
"2010-01-19",4.8,4.95,4.7,4.91,27700,4.91
"2010-01-20",4.8,4.87,4.71,4.78,21000,4.78
"2010-01-21",4.75,4.8,4.58,4.61,24400,4.61
"2010-01-22",4.61,4.77,4.57,4.65,29800,4.65
"2010-01-25",4.7,4.71,4.57,4.59,59200,4.59
"2010-01-26",4.6,4.65,4.53,4.65,24800,4.65
"2010-01-27",4.65,4.65,4.5,4.63,16100,4.63
"2010-01-28",4.62,4.62,4.34,4.46,29700,4.46
"2010-01-29",4.47,4.59,4.42,4.44,15900,4.44
"2010-02-01",4.45,4.48,4.4,4.4,10400,4.4
"2010-02-02",4.46,4.65,4.42,4.62,31400,4.62
"2010-02-03",4.62,4.79,4.49,4.52,33700,4.52
"2010-02-04",4.5,4.64,4.45,4.61,31000,4.61
"2010-02-05",4.61,4.74,4.41,4.54,48600,4.54
"2010-02-08",4.54,4.74,4.47,4.68,14300,4.68
"2010-02-09",4.66,4.71,4.58,4.62,16300,4.62
"2010-02-10",4.6,4.8,4.5,4.75,26900,4.75
"2010-02-11",4.71,5.1,4.5,5.1,38900,5.1
"2010-02-12",5.05,5.29,4.78,5.27,21100,5.27
"2010-02-16",5.27,5.27,4.75,4.77,14800,4.77
"2010-02-17",4.8,4.92,4.8,4.85,4700,4.85
"2010-02-18",4.65,4.85,4.65,4.85,2800,4.85
"2010-02-19",4.8,4.99,4.8,4.92,8100,4.92
"2010-02-22",4.9,5.05,4.88,4.97,31300,4.97
"2010-02-23",4.95,5.01,4.86,4.92,24500,4.92
"2010-02-24",4.95,4.98,4.9,4.98,4400,4.98
"2010-02-25",4.96,5.06,4.95,4.99,26100,4.99
"2010-02-26",5.04,5.05,4.98,5.03,16100,5.03
"2010-03-01",5.09,5.21,5.02,5.21,24800,5.21
"2010-03-02",5.28,5.28,5.01,5.16,21700,5.16
"2010-03-03",5.15,5.24,5.06,5.21,22100,5.21
"2010-03-04",5.18,5.42,5.07,5.35,42000,5.35
"2010-03-05",5.34,5.77,5.18,5.67,40600,5.67
"2010-03-08",5.6,5.6,5.28,5.56,42100,5.56
"2010-03-09",5.48,5.9,5.42,5.66,58400,5.66
"2010-03-10",5.57,6.09,5.57,5.89,52200,5.89
"2010-03-11",5.89,5.96,5.46,5.48,46700,5.48
"2010-03-12",5.55,5.85,5.54,5.6,50500,5.6
"2010-03-15",5.53,6.43,5.5,6.08,80300,6.08
"2010-03-16",6.19,6.58,6.08,6.24,74300,6.24
"2010-03-17",6.32,6.5,6.15,6.38,41400,6.38
"2010-03-18",6.39,6.5,6.21,6.37,55400,6.37
"2010-03-19",5.6,6.42,5.6,5.6,83700,5.6
"2010-03-22",5.62,6.57,5.61,6.5,66200,6.5
"2010-03-23",6.41,6.74,6.41,6.69,123300,6.69
"2010-03-24",6.54,6.74,6.5,6.54,31600,6.54
"2010-03-25",6.6,6.8,6.54,6.54,47300,6.54
"2010-03-26",6.6,6.7,6.58,6.65,21300,6.65
"2010-03-29",6.63,6.69,6.56,6.63,28800,6.63
"2010-03-30",6.52,6.65,6.46,6.55,29700,6.55
"2010-03-31",6.51,6.61,6.51,6.61,15400,6.61
"2010-04-01",6.65,6.7,6.5,6.65,53000,6.65
"2010-04-05",6.58,6.66,6.5,6.61,21700,6.61
"2010-04-06",6.55,6.72,6.52,6.61,42400,6.61
"2010-04-07",6.55,6.74,6.5,6.5,27700,6.5
"2010-04-08",6.51,6.67,6.51,6.61,22400,6.61
"2010-04-09",6.63,6.66,6.5,6.61,33600,6.61
"2010-04-12",6.6,6.84,6.53,6.65,42400,6.65
"2010-04-13",6.6,6.7,6.56,6.7,6300,6.7
"2010-04-14",6.65,6.75,6.61,6.68,29700,6.68
"2010-04-15",6.6,6.75,6.55,6.68,38800,6.68
"2010-04-16",6.74,6.74,6.55,6.57,33200,6.57
