"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2010-01-04",15.22,15.64,15.15,15.45,67079900,12.366038
"2010-01-05",15.46,15.67,15.45,15.53,64550600,12.43007
"2010-01-06",15.53,15.62,15.44,15.45,55464900,12.366038
"2010-01-07",15.48,16.48,15.43,16.25,185472300,13.006351
"2010-01-08",16.309999,16.690001,16.27,16.6,115112600,13.286488
"2010-01-11",16.83,16.879999,16.540001,16.76,76675400,13.414551
"2010-01-12",16.58,16.84,16.57,16.77,64622800,13.422555
"2010-01-13",16.76,16.92,16.57,16.83,65342400,13.470578
"2010-01-14",16.790001,16.870001,16.68,16.700001,57361500,13.366528
"2010-01-15",16.68,16.75,16.35,16.440001,74108100,13.158426
"2010-01-19",16.35,16.75,16.34,16.540001,60697400,13.238465
"2010-01-20",16.5,16.68,16.33,16.5,64495600,13.206449
"2010-01-21",16.469999,16.48,15.95,16.02,99151200,12.822262
"2010-01-22",16.549999,16.76,16.09,16.110001,162677700,12.894297
"2010-01-25",16.459999,16.530001,16.219999,16.370001,75160400,13.102399
"2010-01-26",16.33,16.700001,16.26,16.35,78017000,13.086391
"2010-01-27",16.290001,16.389999,16.030001,16.299999,76850600,13.04637
"2010-01-28",16.43,16.450001,16.01,16.16,79136000,12.934316
"2010-01-29",16.219999,16.5,16.07,16.08,81158600,12.870285
"2010-02-01",16.200001,16.34,16.1,16.25,56940500,13.006351
"2010-02-02",16.27,16.950001,16.24,16.85,115749400,13.486586
"2010-02-03",16.790001,17.030001,16.620001,16.68,70778200,13.350519
"2010-02-04",16.48,16.5,16.01,16.040001,110099200,12.83827
"2010-02-05",16.040001,16.190001,15.25,15.79,143503200,12.638171
"2010-02-08",15.83,15.84,15.47,15.6,70487000,12.486097
"2010-02-09",15.76,15.89,15.43,15.6,97580300,12.486097
"2010-02-10",15.57,15.87,15.5,15.69,68377100,12.558132
"2010-02-11",15.62,15.79,15.48,15.77,66896700,12.622164
"2010-02-12",15.59,15.75,15.35,15.55,76503100,12.446078
"2010-02-16",15.7,16.120001,15.68,16.040001,69444800,12.83827
"2010-02-17",16.190001,16.219999,16.059999,16.15,60553900,12.926312
"2010-02-18",16.1,16.290001,16.08,16.24,47333500,12.998347
"2010-02-19",16.139999,16.25,16,16.17,65201600,12.94232
"2010-02-22",16.23,16.34,16.16,16.25,44988000,13.006351
"2010-02-23",16.190001,16.32,15.86,15.95,63371100,12.766234
"2010-02-24",15.98,16.139999,15.88,16.120001,56650600,12.902301
"2010-02-25",15.76,15.95,15.71,15.92,63364500,12.821762
"2010-02-26",16,16.15,15.95,16.059999,60564400,12.934516
"2010-03-01",16.1,16.15,15.83,15.9,62798300,12.805654
"2010-03-02",15.92,15.95,15.83,15.9,52587600,12.805654
"2010-03-03",15.98,16.290001,15.95,16.030001,83817400,12.910355
"2010-03-04",16.07,16.16,15.97,16.110001,47132200,12.974786
"2010-03-05",16.190001,16.370001,16.15,16.35,65183900,13.168079
"2010-03-08",16.370001,16.469999,16.24,16.27,53676900,13.103648
"2010-03-09",16.299999,16.620001,16.25,16.49,83685600,13.280833
"2010-03-10",16.49,16.610001,16.42,16.51,67843400,13.296941
"2010-03-11",16.49,16.549999,16.32,16.48,64905500,13.272779
"2010-03-12",16.59,17.059999,16.5,17.040001,112875400,13.723797
"2010-03-15",17.02,17.35,16.940001,17.290001,117951100,13.925143
"2010-03-16",17.49,18.16,17.450001,18.07,228571100,14.553344
"2010-03-17",18.32,18.4,17.969999,18.040001,160499800,14.529184
"2010-03-18",18.09,18.26,17.91,18.190001,88515400,14.649991
"2010-03-19",18.07,18.34,17.93,18.07,114796600,14.553344
"2010-03-22",17.860001,18.129999,17.799999,18.07,64940700,14.553344
"2010-03-23",18.16,18.450001,18.15,18.33,107580100,14.762745
"2010-03-24",18.360001,18.940001,18.27,18.450001,124241100,14.859392
"2010-03-25",18.709999,18.76,18.26,18.299999,97668400,14.738583
"2010-03-26",18.32,18.629999,18.18,18.34,84380500,14.770799
"2010-03-29",18.52,18.559999,18.25,18.4,83916800,14.819122
"2010-03-30",18.469999,18.48,18.25,18.299999,53168700,14.738583
"2010-03-31",18.209999,18.360001,18.129999,18.200001,59216500,14.658045
"2010-04-01",18.27,18.4,18.18,18.33,45478000,14.762745
"2010-04-05",18.42,18.65,18.33,18.530001,55879400,14.923823
"2010-04-06",18.450001,18.65,18.41,18.6,54106500,14.9802
"2010-04-07",18.57,18.75,18.389999,18.5,60464200,14.899661
"2010-04-08",18.389999,18.65,18.25,18.559999,60592900,14.947984
"2010-04-09",18.59,18.67,18.4,18.52,54612700,14.915769
"2010-04-12",18.559999,18.98,18.540001,18.709999,71700500,15.068792
"2010-04-13",18.75,19.129999,18.719999,18.950001,92585100,15.262086
"2010-04-14",19.209999,19.4,19.01,19.35,81959000,15.58424
"2010-04-15",19.450001,19.690001,19.370001,19.5,103121900,15.705048
"2010-04-16",19.440001,19.450001,18.65,18.969999,172374900,15.278192
"2010-04-19",18.639999,18.969999,18.639999,18.940001,78156200,15.254032
"2010-04-20",19.040001,19.200001,18.98,19,57666500,15.302355
"2010-04-21",19.1,19.18,18.889999,19.030001,58407000,15.326517
"2010-04-22",18.91,19.01,18.610001,18.950001,73044600,15.262086
"2010-04-23",18.860001,19.1,18.799999,19.07,57777500,15.358731
"2010-04-26",19.190001,19.370001,19.1,19.299999,65712900,15.54397
"2010-04-27",19.24,19.49,18.59,18.700001,109629100,15.060739
"2010-04-28",18.67,19.09,18.65,18.950001,85006400,15.262086
"2010-04-29",19.040001,19.49,19.030001,19.49,70066400,15.696994
"2010-04-30",19.459999,19.700001,18.790001,18.860001,112133100,15.189601
"2010-05-03",18.969999,19.34,18.959999,19.26,60157700,15.511755
"2010-05-04",19.059999,19.07,18.35,18.58,94123700,14.964092
"2010-05-05",18.219999,18.49,17.93,18.1,106999600,14.577506
"2010-05-06",18,18.15,15.15,17.309999,182122800,13.94125
"2010-05-07",17.51,17.690001,16.52,16.879999,165465900,13.594933
"2010-05-10",18.040001,18.370001,17.879999,18.040001,138171300,14.529184
"2010-05-11",17.85,18.34,17.82,18,83503800,14.496967
"2010-05-12",18.09,18.5,18.07,18.440001,67907500,14.851338
"2010-05-13",18.41,18.43,17.959999,18.049999,64312600,14.537236
"2010-05-14",17.969999,18.040001,17.41,17.639999,83715700,14.207028
"2010-05-17",17.610001,17.719999,17.09,17.559999,78754500,14.142597
"2010-05-18",17.719999,17.870001,17.049999,17.23,79492500,13.876819
"2010-05-19",17.07,17.379999,16.75,17.26,134943000,13.900981
"2010-05-20",16.809999,16.83,16.25,16.26,154436300,13.095594
"2010-05-21",15.7,16.43,15.65,16.42,146375300,13.224456
"2010-05-24",16.32,16.389999,15.97,16.01,74129700,12.894247
"2010-05-25",15.5,15.97,15.25,15.95,122232900,12.845924
"2010-05-26",16.35,16.49,15.97,16.01,83279500,12.894247
"2010-05-27",16.42,16.68,16.139999,16.66,70118300,13.417749
"2010-05-28",16.66,16.690001,16.16,16.35,70383300,13.168079
"2010-06-01",16.24,16.51,15.93,15.98,73128000,12.870085
"2010-06-02",16.16,16.389999,15.95,16.35,62848900,13.168079
"2010-06-03",16.41,16.48,16.23,16.450001,51837000,13.248618
"2010-06-04",16.08,16.08,15.56,15.71,114420100,12.652631
"2010-06-07",15.73,15.75,15.37,15.41,73216100,12.411015
"2010-06-08",15.46,15.55,15.05,15.48,89376600,12.467392
"2010-06-09",15.58,15.7,15.22,15.32,66853600,12.33853
"2010-06-10",15.59,15.87,15.52,15.68,78615900,12.62847
"2010-06-11",15.53,15.61,15.37,15.56,70851700,12.531823
"2010-06-14",15.77,15.88,15.35,15.39,75734400,12.394907
"2010-06-15",15.52,15.85,15.36,15.79,79088400,12.717062
"2010-06-16",15.71,16.09,15.62,15.85,86647800,12.765386
"2010-06-17",15.87,15.93,15.65,15.91,57041100,12.895065
"2010-06-18",16,16.049999,15.86,15.95,59328800,12.927485
"2010-06-21",16.209999,16.450001,16.030001,16.1,71221500,13.04906
"2010-06-22",16.09,16.17,15.77,15.79,64982700,12.797805
"2010-06-23",15.76,15.89,15.37,15.39,97574100,12.473605
"2010-06-24",15.38,15.45,15,15.08,96299000,12.222349
"2010-06-25",15.12,15.15,14.82,14.91,134229600,12.084564
"2010-06-28",14.96,15.21,14.91,15,60445900,12.157509
"2010-06-29",14.75,14.79,14.27,14.48,114904900,11.736049
"2010-06-30",14.47,14.69,14.35,14.42,81568200,11.687419
"2010-07-01",14.33,14.43,13.87,14.12,107077700,11.444269
"2010-07-02",14.16,14.26,13.75,13.88,78544600,11.249749
"2010-07-06",14.11,14.31,13.81,13.97,77154700,11.322694
"2010-07-07",13.99,14.66,13.96,14.62,91711400,11.849519
"2010-07-08",14.87,15.17,14.57,14.83,88427100,12.019724
"2010-07-09",14.95,14.99,14.75,14.95,46094200,12.116984
"2010-07-12",14.9,14.99,14.78,14.93,38390800,12.100775
"2010-07-13",15.22,15.35,15.16,15.21,57860800,12.327714
"2010-07-14",15.26,15.3,15.06,15.2,45725200,12.319609
"2010-07-15",15.16,15.28,14.88,15.25,79329000,12.360134
"2010-07-16",15,15.06,14.5,14.55,125415000,11.792784
"2010-07-19",14.64,14.74,14.47,14.62,49073000,11.849519
"2010-07-20",14.36,15.01,14.36,14.94,67279400,12.108879
"2010-07-21",15.11,15.2,14.64,14.84,65021900,12.027829
"2010-07-22",15.08,15.29,14.97,15.21,64300700,12.327714
"2010-07-23",15.21,15.85,15.03,15.71,112735300,12.732965
"2010-07-26",15.91,16.16,15.7,16.139999,80950300,13.08148
"2010-07-27",16.299999,16.57,16.1,16.18,69942100,13.1139
"2010-07-28",16.1,16.18,15.95,16.049999,52479100,13.008534
"2010-07-29",16.15,16.24,15.94,16.15,69783700,13.089585
"2010-07-30",15.92,16.24,15.91,16.120001,60130400,13.065271
"2010-08-02",16.32,16.469999,16.309999,16.41,67412000,13.300315
"2010-08-03",16.389999,16.52,16.360001,16.4,55092900,13.29221
"2010-08-04",16.41,16.51,16.370001,16.48,46124000,13.35705
"2010-08-05",16.35,16.540001,16.27,16.52,46596900,13.389471
"2010-08-06",16.32,16.450001,16.09,16.450001,58954200,13.332736
"2010-08-09",16.42,16.459999,16.299999,16.379999,39918800,13.276
"2010-08-10",16.190001,16.34,15.96,16.25,53236400,13.170635
"2010-08-11",15.98,16.030001,15.54,15.7,77164000,12.72486
"2010-08-12",15.42,15.68,15.34,15.5,58243300,12.56276
"2010-08-13",15.34,15.52,15.34,15.38,41650800,12.4655
