"","PKD.Open","PKD.High","PKD.Low","PKD.Close","PKD.Volume","PKD.Adjusted"
"2010-01-04",5.03,5.2,5.01,5.2,779400,5.2
"2010-01-05",5.17,5.5,5.12,5.49,1103500,5.49
"2010-01-06",5.48,5.55,5.41,5.47,805000,5.47
"2010-01-07",5.47,5.51,5.3,5.36,585000,5.36
"2010-01-08",5.27,5.59,5.27,5.54,984900,5.54
"2010-01-11",5.54,5.63,5.44,5.46,630400,5.46
"2010-01-12",5.38,5.44,5.25,5.27,423600,5.27
"2010-01-13",5.31,5.5,5.21,5.46,435800,5.46
"2010-01-14",5.45,5.54,5.39,5.49,341200,5.49
"2010-01-15",5.52,5.56,5.35,5.55,702000,5.55
"2010-01-19",5.54,5.85,5.54,5.82,888000,5.82
"2010-01-20",5.73,5.77,5.63,5.7,552000,5.7
"2010-01-21",5.7,5.78,5.37,5.37,1141600,5.37
"2010-01-22",5.35,5.44,5.05,5.07,1080200,5.07
"2010-01-25",5.14,5.25,5.03,5.13,768400,5.13
"2010-01-26",5.09,5.28,5.05,5.16,537400,5.16
"2010-01-27",5.11,5.26,5.03,5.21,520600,5.21
"2010-01-28",5.24,5.26,4.97,5.01,802400,5.01
"2010-01-29",5.05,5.18,4.79,4.81,457000,4.81
"2010-02-01",4.82,4.98,4.82,4.97,406400,4.97
"2010-02-02",4.97,5.07,4.91,5,467600,5
"2010-02-03",5.05,5.07,4.85,5.01,625900,5.01
"2010-02-04",4.97,4.97,4.7,4.72,855900,4.72
"2010-02-05",4.67,4.78,4.55,4.68,904600,4.68
"2010-02-08",4.69,4.77,4.55,4.73,621300,4.73
"2010-02-09",4.83,4.89,4.75,4.81,453200,4.81
"2010-02-10",4.79,4.9,4.7,4.83,455800,4.83
"2010-02-11",4.8,4.94,4.77,4.94,543000,4.94
"2010-02-12",4.89,4.92,4.82,4.92,643300,4.92
"2010-02-16",4.99,5.05,4.94,5.03,463200,5.03
"2010-02-17",5.04,5.21,5.04,5.21,709300,5.21
"2010-02-18",5.18,5.36,5.1,5.36,631900,5.36
"2010-02-19",5.33,5.4,5.23,5.36,383600,5.36
"2010-02-22",5.4,5.4,5.2,5.24,453300,5.24
"2010-02-23",5.21,5.26,5.04,5.07,497500,5.07
"2010-02-24",5.11,5.26,5.08,5.19,435100,5.19
"2010-02-25",5.07,5.39,5.05,5.39,570000,5.39
"2010-02-26",5.4,5.44,5.12,5.13,715100,5.13
"2010-03-01",5.15,5.25,5.15,5.25,471900,5.25
"2010-03-02",5.25,5.41,5.22,5.41,545400,5.41
"2010-03-03",5.4,5.44,5.31,5.38,473000,5.38
"2010-03-04",5.38,5.44,5.28,5.3,338200,5.3
"2010-03-05",5.33,5.35,5.26,5.3,808800,5.3
"2010-03-08",5.28,5.41,5.22,5.23,683600,5.23
"2010-03-09",5.2,5.51,5.18,5.4,1563900,5.4
"2010-03-10",5.39,5.51,5.33,5.5,451000,5.5
"2010-03-11",5.49,5.5,5.4,5.48,306400,5.48
"2010-03-12",5.51,5.52,5.32,5.37,393700,5.37
"2010-03-15",5.35,5.35,5.2,5.26,324400,5.26
"2010-03-16",5.3,5.3,5.2,5.28,351300,5.28
"2010-03-17",5.28,5.39,5.24,5.26,454500,5.26
"2010-03-18",5.29,5.3,5.1,5.2,1194400,5.2
"2010-03-19",5.04,5.26,5.03,5.04,883300,5.04
"2010-03-22",5,5.08,4.94,5.01,424100,5.01
"2010-03-23",5,5.05,4.95,5.04,525600,5.04
"2010-03-24",4.99,5.08,4.95,4.95,337600,4.95
"2010-03-25",5.01,5.01,4.6,4.63,964000,4.63
"2010-03-26",4.66,4.83,4.65,4.7,917900,4.7
"2010-03-29",4.71,4.88,4.7,4.82,379200,4.82
"2010-03-30",4.83,4.92,4.74,4.81,451100,4.81
"2010-03-31",4.85,5.06,4.81,4.93,989800,4.93
"2010-04-01",5.05,5.05,4.94,5.02,410700,5.02
"2010-04-05",5.04,5.23,5.03,5.19,546100,5.19
"2010-04-06",5.15,5.23,5.11,5.18,398400,5.18
"2010-04-07",5.16,5.29,5.16,5.28,697500,5.28
"2010-04-08",5.25,5.57,5.15,5.51,1321200,5.51
"2010-04-09",5.5,5.58,5.38,5.58,986900,5.58
"2010-04-12",5.58,5.76,5.56,5.76,946300,5.76
"2010-04-13",5.72,5.72,5.08,5.2,2209200,5.2
"2010-04-14",5.27,5.32,5.12,5.15,1617400,5.15
"2010-04-15",5.14,5.19,5.1,5.15,752900,5.15
"2010-04-16",5.13,5.14,4.96,4.96,1277300,4.96
"2010-04-19",4.96,5.12,4.92,4.97,2462600,4.97
"2010-04-20",5.03,5.11,5.02,5.07,790300,5.07
"2010-04-21",5.09,5.29,5.05,5.25,601200,5.25
