"","REV.Open","REV.High","REV.Low","REV.Close","REV.Volume","REV.Adjusted"
"2010-01-04",16.969999,18.129999,16.969999,17.91,307700,17.91
"2010-01-05",17.85,18.1,17.049999,17.07,327100,17.07
"2010-01-06",17.01,17.219999,16.879999,17.049999,143100,17.049999
"2010-01-07",16.9,17.59,16.84,17.059999,140700,17.059999
"2010-01-08",17.059999,17.4,16.93,17.02,149700,17.02
"2010-01-11",17.15,17.15,16.84,16.93,285100,16.93
"2010-01-12",16.719999,16.82,16.48,16.68,235600,16.68
"2010-01-13",16.65,17.01,16.530001,16.969999,153100,16.969999
"2010-01-14",17,17.15,16.889999,17.120001,91400,17.120001
"2010-01-15",17.219999,17.48,16.780001,17.440001,354300,17.440001
"2010-01-19",17.440001,18.459999,17.440001,18.129999,366600,18.129999
"2010-01-20",17.940001,17.959999,17,17.190001,178300,17.190001
"2010-01-21",17.32,17.74,15.85,15.92,300500,15.92
"2010-01-22",16.01,16.01,15.1,15.2,222000,15.2
"2010-01-25",15.39,15.54,14.69,14.84,264100,14.84
"2010-01-26",14.71,15.36,14.71,14.93,107700,14.93
"2010-01-27",14.89,15.66,14.85,15.54,155500,15.54
"2010-01-28",15.64,15.97,15.13,15.52,151600,15.52
"2010-01-29",15.69,16.030001,15.27,15.41,234900,15.41
"2010-02-01",15.57,15.73,15.16,15.63,104100,15.63
"2010-02-02",15.67,16.200001,15.12,16.200001,278800,16.200001
"2010-02-03",16.09,16.43,15.42,15.89,223200,15.89
"2010-02-04",15.73,15.73,14.98,15.04,194400,15.04
"2010-02-05",15.01,15.44,14.5,15.36,319800,15.36
"2010-02-08",15.28,15.47,14.84,14.85,90200,14.85
"2010-02-09",15.03,15.28,14.46,15.06,185900,15.06
"2010-02-10",14.92,15.1,14.4,14.85,160900,14.85
"2010-02-11",14.65,15.59,14.65,15.55,127800,15.55
"2010-02-12",15.31,15.92,15.25,15.69,114800,15.69
"2010-02-16",15.7,15.87,15.26,15.85,136600,15.85
"2010-02-17",15.9,16.48,15.88,16.42,108800,16.42
"2010-02-18",16.32,16.75,16.27,16.639999,73600,16.639999
"2010-02-19",16.639999,16.700001,16.059999,16.309999,147500,16.309999
"2010-02-22",16.370001,16.370001,15.75,15.93,97200,15.93
"2010-02-23",15.92,15.92,15.27,15.7,150500,15.7
"2010-02-24",15.75,16.9,15.75,16.469999,213500,16.469999
"2010-02-25",15.28,15.99,14.16,15.36,935500,15.36
"2010-02-26",15.25,15.61,14.9,14.99,250700,14.99
"2010-03-01",15.08,16.360001,15.08,16.200001,306700,16.200001
"2010-03-02",16.299999,16.889999,16.02,16.5,320400,16.5
"2010-03-03",16.389999,16.5,15.96,16.110001,167100,16.110001
"2010-03-04",16.1,16.34,16.07,16.290001,100900,16.290001
"2010-03-05",16.34,16.549999,16.129999,16.450001,121600,16.450001
"2010-03-08",16.32,16.59,15.95,16.15,157500,16.15
"2010-03-09",16.219999,16.639999,15.99,16.16,149300,16.16
"2010-03-10",16.08,16.26,15.8,15.96,117900,15.96
"2010-03-11",15.8,15.96,15.62,15.87,104800,15.87
"2010-03-12",15.81,15.86,15.42,15.86,91100,15.86
"2010-03-15",15.73,15.76,15.42,15.49,161500,15.49
"2010-03-16",15.42,15.51,15,15.25,165600,15.25
"2010-03-17",15.2,15.23,15.01,15.17,105800,15.17
"2010-03-18",15,15.05,14.84,14.94,150100,14.94
"2010-03-19",14.4,14.94,14.36,14.4,211200,14.4
"2010-03-22",14.29,14.29,13.56,14.18,327200,14.18
"2010-03-23",13.96,15.05,13.87,15,573100,15
"2010-03-24",14.92,15.17,14.72,14.79,173400,14.79
"2010-03-25",14.97,15.16,14.53,14.54,115900,14.54
"2010-03-26",14.59,14.82,14.48,14.48,88600,14.48
"2010-03-29",14.4,15,14.4,14.87,117800,14.87
"2010-03-30",14.81,15.14,14.73,14.93,184400,14.93
"2010-03-31",14.79,15.1,14.74,14.85,134700,14.85
"2010-04-01",14.99,15.07,14.5,14.84,88600,14.84
"2010-04-05",14.92,15.1,14.74,15.06,120800,15.06
"2010-04-06",14.99,15.7,14.93,15.29,194700,15.29
"2010-04-07",15.24,15.3,14.89,15.13,108600,15.13
"2010-04-08",14.99,15.14,14.68,15.04,103500,15.04
"2010-04-09",15.07,15.19,14.94,15.05,47300,15.05
"2010-04-12",15,15.27,15,15.11,1e+05,15.11
"2010-04-13",15.1,15.17,14.8,15.14,104900,15.14
