"","UCTT.Open","UCTT.High","UCTT.Low","UCTT.Close","UCTT.Volume","UCTT.Adjusted"
"2010-01-04",7,7.43,6.91,7.34,74200,7.34
"2010-01-05",7.3,7.5,7.3,7.35,43300,7.35
"2010-01-06",7.33,7.45,7.28,7.35,30900,7.35
"2010-01-07",7.16,7.45,7.16,7.34,32500,7.34
"2010-01-08",7.31,7.65,7.31,7.54,83100,7.54
"2010-01-11",7.61,7.81,7.55,7.69,29900,7.69
"2010-01-12",7.62,7.7,7.3,7.3,171600,7.3
"2010-01-13",7.39,7.58,7.15,7.48,135700,7.48
"2010-01-14",7.5,7.6,7.34,7.59,66200,7.59
"2010-01-15",7.54,7.61,7.37,7.61,58400,7.61
"2010-01-19",7.59,7.6,7.48,7.58,29900,7.58
"2010-01-20",7.55,7.68,7.45,7.59,63100,7.59
"2010-01-21",7.59,7.59,7.4,7.5,44900,7.5
"2010-01-22",7.45,7.63,7.25,7.28,86900,7.28
"2010-01-25",7.32,7.4,7.27,7.29,30500,7.29
"2010-01-26",7.25,7.32,7.15,7.2,88200,7.2
"2010-01-27",7.12,7.14,6.61,6.89,153800,6.89
"2010-01-28",6.86,6.96,6.5,6.61,50100,6.61
"2010-01-29",6.61,6.88,6.06,6.46,85600,6.46
"2010-02-01",6.49,6.75,6.42,6.62,87200,6.62
"2010-02-02",6.61,6.77,6.55,6.7,49100,6.7
"2010-02-03",6.62,6.79,6.52,6.71,30700,6.71
"2010-02-04",6.68,6.82,6.06,6.06,43800,6.06
"2010-02-05",6.11,6.19,5.99,6.01,80200,6.01
"2010-02-08",6.05,6.14,5.99,6,89000,6
"2010-02-09",6.14,6.18,6.04,6.1,69900,6.1
"2010-02-10",6.11,6.23,6.03,6.23,29000,6.23
"2010-02-11",6.17,6.44,6.17,6.38,54200,6.38
"2010-02-12",6.33,6.5,6.25,6.45,72600,6.45
"2010-02-16",6.53,7.1,6.47,7.05,237200,7.05
"2010-02-17",7.47,8.98,7.35,8.84,1419200,8.84
"2010-02-18",8.62,8.97,8.52,8.57,393600,8.57
"2010-02-19",8.5,9.24,8.5,9.01,340900,9.01
"2010-02-22",9.02,9.57,9.02,9.25,357300,9.25
"2010-02-23",9.17,9.18,8.85,8.95,170600,8.95
"2010-02-24",8.98,9.3,8.75,9,236100,9
"2010-02-25",8.77,8.97,8.76,8.97,126800,8.97
"2010-02-26",8.9,9.1,8.8,8.87,103000,8.87
"2010-03-01",9.07,9.5,9.07,9.3,161300,9.3
"2010-03-02",9.28,9.53,9.17,9.42,112300,9.42
"2010-03-03",9.46,9.62,9.46,9.52,93300,9.52
"2010-03-04",9.59,9.75,9.3,9.31,140900,9.31
"2010-03-05",9.26,9.49,9.07,9.47,118600,9.47
"2010-03-08",9.51,9.51,9.12,9.18,82900,9.18
"2010-03-09",9.12,9.25,9.11,9.14,58500,9.14
"2010-03-10",9.11,9.24,9.02,9.2,96300,9.2
"2010-03-11",9.07,9.41,9.07,9.4,84300,9.4
"2010-03-12",9.47,9.47,9.1,9.25,69400,9.25
"2010-03-15",9.25,9.25,8.81,8.84,130300,8.84
"2010-03-16",8.88,9.15,8.46,8.95,150900,8.95
"2010-03-17",8.92,9.33,8.88,9.18,154200,9.18
"2010-03-18",9.12,9.21,8.82,8.95,82900,8.95
"2010-03-19",8.35,8.99,8.31,8.35,179500,8.35
"2010-03-22",8.23,8.48,8.1,8.45,124200,8.45
"2010-03-23",8.42,9.18,8.39,8.96,141100,8.96
"2010-03-24",8.88,8.88,8.64,8.66,81700,8.66
"2010-03-25",8.72,8.94,8.51,8.74,96800,8.74
"2010-03-26",8.72,8.78,8.38,8.54,168000,8.54
"2010-03-29",8.2,8.53,8.1,8.44,136300,8.44
"2010-03-30",8.49,8.68,8.41,8.55,48700,8.55
"2010-03-31",8.46,8.6,8.31,8.53,69100,8.53
"2010-04-01",8.59,8.59,8.4,8.41,40600,8.41
"2010-04-05",8.49,8.5,7.84,7.91,344800,7.91
"2010-04-06",7.85,8.38,7.85,8.37,237400,8.37
"2010-04-07",8.32,8.79,8.28,8.76,208200,8.76
"2010-04-08",8.74,8.81,8.39,8.71,116900,8.71
"2010-04-09",8.78,8.81,8.35,8.43,220200,8.43
"2010-04-12",8.4,8.56,8.26,8.46,82000,8.46
"2010-04-13",8.47,8.83,8.3,8.77,134700,8.77
"2010-04-14",8.83,9.92,8.83,9.67,501200,9.67
"2010-04-15",9.6,9.94,9.6,9.83,270700,9.83
"2010-04-16",9.82,9.87,9.44,9.65,191800,9.65
"2010-04-19",9.53,9.56,9.36,9.47,103400,9.47
"2010-04-20",9.52,9.94,9.52,9.89,183700,9.89
"2010-04-21",9.93,10.22,9.91,10,201700,10
"2010-04-22",10.06,10.4,9.72,10.3,274600,10.3
"2010-04-23",10.39,10.43,10.21,10.25,131500,10.25
"2010-04-26",10.31,10.75,10.25,10.4,213600,10.4
"2010-04-27",10.66,10.75,9.78,9.85,442900,9.85
"2010-04-28",9.91,10.41,9.53,10.27,162200,10.27
"2010-04-29",9.99,10.35,9.91,10.15,179400,10.15
"2010-04-30",10.11,10.11,9.77,9.87,143200,9.87
"2010-05-03",9.91,9.93,9.38,9.72,114900,9.72
"2010-05-04",9.51,10.23,9.48,10.07,167600,10.07
"2010-05-05",9.91,10.02,9.66,9.88,137000,9.88
"2010-05-06",9.69,9.86,8.75,9.34,200500,9.34
"2010-05-07",9.21,9.37,8.85,9.03,165300,9.03
"2010-05-10",9.47,9.83,9.29,9.71,143900,9.71
"2010-05-11",9.47,10.07,9.45,9.65,118500,9.65
"2010-05-12",9.74,10.5,9.62,10.44,162100,10.44
"2010-05-13",10.27,10.5,10.01,10.16,193000,10.16
"2010-05-14",10.06,10.08,9.81,9.91,97200,9.91
"2010-05-17",10.09,10.14,9.65,9.97,99600,9.97
"2010-05-18",10.24,10.24,9.73,9.74,191300,9.74
"2010-05-19",9.71,10,9.23,9.6,161200,9.6
"2010-05-20",9.14,9.38,8.83,8.98,153100,8.98
"2010-05-21",8.75,9.5,8.64,9,174300,9
"2010-05-24",8.99,9.17,8.9,8.96,80100,8.96
"2010-05-25",8.55,8.63,8.19,8.6,149400,8.6
"2010-05-26",8.73,8.82,8.5,8.5,82200,8.5
"2010-05-27",8.84,9,8.75,8.86,130400,8.86
"2010-05-28",8.89,9.02,8.7,8.92,122900,8.92
"2010-06-01",8.82,8.82,8.3,8.32,89700,8.32
"2010-06-02",8.37,8.7,8.32,8.66,102600,8.66
"2010-06-03",8.64,8.91,8.48,8.86,137400,8.86
"2010-06-04",8.4,8.75,8.08,8.25,78700,8.25
"2010-06-07",8.23,8.24,7.69,7.72,94600,7.72
"2010-06-08",7.8,7.8,7.31,7.6,162400,7.6
"2010-06-09",7.8,7.88,7.41,7.58,158600,7.58
"2010-06-10",7.7,8.1,7.65,8.09,133500,8.09
"2010-06-11",8.27,8.52,7.95,8.49,112200,8.49
"2010-06-14",8.46,8.8,8.46,8.61,161100,8.61
"2010-06-15",8.7,8.93,8.52,8.85,282100,8.85
"2010-06-16",8.84,9.25,8.68,9.07,133500,9.07
"2010-06-17",9.19,9.22,8.87,9.05,64900,9.05
"2010-06-18",9.03,9.29,8.87,9.13,145000,9.13
"2010-06-21",9.28,9.28,8.86,9.13,178100,9.13
"2010-06-22",9.11,9.18,8.79,8.84,71700,8.84
"2010-06-23",8.95,9.1,8.61,8.74,98400,8.74
"2010-06-24",8.69,8.9,8.54,8.79,107200,8.79
"2010-06-25",8.88,8.98,8.5,8.86,2864000,8.86
"2010-06-28",8.85,9.15,8.73,9.13,159300,9.13
"2010-06-29",8.91,9.04,8.57,8.64,162700,8.64
"2010-06-30",8.67,8.79,8.42,8.52,128800,8.52
"2010-07-01",8.5,8.54,7.91,8.26,96400,8.26
"2010-07-02",8.36,8.49,8.12,8.25,130800,8.25
"2010-07-06",8.4,8.48,7.75,7.78,105100,7.78
"2010-07-07",7.78,8.4,7.78,8.39,170400,8.39
"2010-07-08",8.49,8.57,8.12,8.37,86200,8.37
"2010-07-09",8.37,8.94,8.37,8.9,96400,8.9
"2010-07-12",8.84,9.21,8.69,8.81,71000,8.81
"2010-07-13",8.99,9.5,8.85,9.48,107900,9.48
"2010-07-14",9.48,9.66,9.14,9.24,122400,9.24
"2010-07-15",9.28,9.28,8.79,8.88,75000,8.88
"2010-07-16",8.77,8.88,8.42,8.42,133000,8.42
"2010-07-19",8.49,8.52,8.1,8.4,87500,8.4
"2010-07-20",8.25,8.48,8.12,8.45,104100,8.45
"2010-07-21",8.55,8.62,8.14,8.16,55800,8.16
"2010-07-22",8.33,8.81,8.31,8.78,96000,8.78
"2010-07-23",8.75,9.27,8.69,9.24,113100,9.24
"2010-07-26",9.24,9.61,9.24,9.45,219400,9.45
"2010-07-27",10.44,10.87,10.21,10.72,1390600,10.72
"2010-07-28",10.73,10.94,10.45,10.88,307900,10.88
"2010-07-29",10.71,11.08,10.48,10.9,346400,10.9
"2010-07-30",10.75,10.9,10.52,10.83,253600,10.83
"2010-08-02",11,11.47,10.91,10.97,323600,10.97
"2010-08-03",10.96,11.13,10.62,10.98,136700,10.98
"2010-08-04",11.02,11.06,10.7,10.82,113600,10.82
"2010-08-05",10.74,10.89,10.46,10.46,120000,10.46
"2010-08-06",10.32,10.83,9.94,10.74,305600,10.74
"2010-08-09",10.86,11.1,10.75,10.99,254600,10.99
"2010-08-10",10.88,10.96,10.43,10.61,165000,10.61
"2010-08-11",10.37,10.37,9.67,9.87,257000,9.87
"2010-08-12",9.61,9.96,9.39,9.44,160600,9.44
"2010-08-13",9.43,9.59,9.22,9.26,125400,9.26
"2010-08-16",9.23,10,9.15,9.98,212900,9.98
"2010-08-17",10.17,10.44,9.85,10.15,135600,10.15
"2010-08-18",10.17,10.34,9.75,10,102100,10
"2010-08-19",9.93,9.94,9.26,9.32,190500,9.32
"2010-08-20",9.3,9.56,9.12,9.54,175700,9.54
"2010-08-23",9.59,9.61,9.21,9.29,113000,9.29
"2010-08-24",9.15,9.2,8.84,9.12,165500,9.12
"2010-08-25",9.01,9.1,8.6,9,236500,9
"2010-08-26",9.02,9.17,8.75,8.79,215200,8.79
"2010-08-27",8.9,9.07,8.61,8.93,2e+05,8.93
"2010-08-30",8.89,8.95,8.66,8.68,125700,8.68
"2010-08-31",8.66,8.78,8.28,8.45,170500,8.45
"2010-09-01",8.73,9.02,8.58,8.97,125600,8.97
"2010-09-02",9.03,9.07,8.82,8.93,127800,8.93
"2010-09-03",9.07,9.3,8.89,9.02,156800,9.02
"2010-09-07",9.02,9.11,8.61,8.7,142100,8.7
"2010-09-08",8.75,8.82,8.62,8.68,131900,8.68
"2010-09-09",8.84,8.84,8.04,8.08,282000,8.08
"2010-09-10",8.23,8.26,7.8,7.99,343000,7.99
"2010-09-13",8.07,8.39,8.06,8.3,121700,8.3
"2010-09-14",8.32,8.48,8.16,8.25,93000,8.25
"2010-09-15",8.23,8.35,8.17,8.27,60200,8.27
"2010-09-16",8.27,8.37,8.04,8.1,69800,8.1
"2010-09-17",8.23,8.31,7.89,8.16,303000,8.16
"2010-09-20",8.17,8.4,8.11,8.36,147300,8.36
"2010-09-21",8.34,8.39,8.15,8.21,145800,8.21
"2010-09-22",8.19,8.3,8.07,8.19,117600,8.19
"2010-09-23",8.13,8.44,8.08,8.24,165100,8.24
"2010-09-24",8.4,8.44,8.28,8.33,240600,8.33
"2010-09-27",8.31,8.72,8.29,8.58,148300,8.58
"2010-09-28",8.63,8.75,8.19,8.73,125700,8.73
"2010-09-29",8.72,9.05,8.57,8.87,111700,8.87
"2010-09-30",8.98,9.17,8.62,8.62,117700,8.62
"2010-10-01",8.7,9,8.55,9,159200,9
"2010-10-04",9,9.1,8.81,9,164500,9
"2010-10-05",8.75,9.3,8.58,9.24,189900,9.24
"2010-10-06",9.22,9.27,9,9.04,117400,9.04
"2010-10-07",9.15,9.35,9,9.21,138900,9.21
"2010-10-08",9.24,9.27,8.5,8.59,325500,8.59
"2010-10-11",8.55,8.8,8.37,8.61,132800,8.61
"2010-10-12",8.55,8.69,8.3,8.57,231100,8.57
"2010-10-13",8.6,9.09,8.59,9.07,249800,9.07
"2010-10-14",9.08,9.39,9,9.14,109500,9.14
"2010-10-15",9.29,9.34,9.09,9.18,122900,9.18
"2010-10-18",9.24,9.3,9.05,9.2,100400,9.2
"2010-10-19",9.03,9.3,8.9,9.15,123900,9.15
"2010-10-20",9.22,9.28,8.86,8.88,126800,8.88
"2010-10-21",8.92,8.96,8.38,8.56,163400,8.56
"2010-10-22",8.58,8.71,8.5,8.7,192300,8.7
"2010-10-25",8.81,9.04,6.79,7,1067500,7
"2010-10-26",7.4,8.06,7.12,8.02,1197200,8.02
"2010-10-27",7.99,7.99,7.56,7.89,364400,7.89
"2010-10-28",7.99,7.99,7.47,7.54,266100,7.54
"2010-10-29",7.48,7.66,7.35,7.52,410000,7.52
"2010-11-01",7.54,7.65,7.29,7.45,240300,7.45
"2010-11-02",7.56,7.65,7.43,7.58,150800,7.58
"2010-11-03",7.65,7.79,7.4,7.63,134700,7.63
"2010-11-04",7.79,8.12,7.78,8.09,250100,8.09
"2010-11-05",8.07,8.3,8,8.13,249400,8.13
"2010-11-08",8.06,8.25,8.01,8.21,118900,8.21
"2010-11-09",8.31,8.31,7.7,7.78,122600,7.78
"2010-11-10",7.81,7.97,7.57,7.86,127500,7.86
"2010-11-11",7.75,7.92,7.64,7.82,119500,7.82
"2010-11-12",7.75,7.85,7.6,7.81,171600,7.81
"2010-11-15",7.75,7.91,7.73,7.88,115200,7.88
"2010-11-16",7.78,7.93,7.56,7.62,173600,7.62
"2010-11-17",7.62,7.72,7.46,7.56,103200,7.56
"2010-11-18",7.67,8,7.67,8,192100,8
"2010-11-19",7.94,8.04,7.75,7.92,127500,7.92
"2010-11-22",7.88,8.04,7.86,8.04,66000,8.04
"2010-11-23",7.88,8,7.72,7.78,88900,7.78
"2010-11-24",7.88,8.2,7.84,8.08,124900,8.08
"2010-11-26",8,8.1,7.94,8.05,44300,8.05
"2010-11-29",7.98,8.09,7.72,8.02,74100,8.02
"2010-11-30",7.99,7.99,7.72,7.84,92800,7.84
"2010-12-01",8.02,8.18,7.92,8.12,133100,8.12
"2010-12-02",8.1,8.64,8.04,8.59,178500,8.59
"2010-12-03",8.51,8.61,8.39,8.58,71600,8.58
"2010-12-06",8.58,8.76,8.48,8.6,179900,8.6
"2010-12-07",8.72,9.03,8.67,8.77,164900,8.77
"2010-12-08",8.8,9.01,8.7,9,165400,9
"2010-12-09",9.04,9.24,8.99,9.19,195000,9.19
"2010-12-10",9.24,9.24,9.09,9.17,68200,9.17
"2010-12-13",9.24,9.32,9.1,9.12,110600,9.12
"2010-12-14",9.11,9.15,8.95,8.99,157500,8.99
"2010-12-15",9.05,9.14,8.74,8.96,156100,8.96
"2010-12-16",9,9.16,8.96,9.13,105100,9.13
"2010-12-17",9.15,9.33,9.11,9.33,221700,9.33
"2010-12-20",9.34,9.41,9.31,9.38,145600,9.38
"2010-12-21",9.46,9.78,9.38,9.63,382400,9.63
"2010-12-22",9.67,9.76,9.5,9.56,145800,9.56
"2010-12-23",9.6,9.7,9.56,9.6,174400,9.6
"2010-12-27",9.55,9.65,9.48,9.59,56200,9.59
"2010-12-28",9.55,9.63,9.33,9.48,68000,9.48
"2010-12-29",9.63,9.65,9.46,9.47,66000,9.47
"2010-12-30",9.45,9.55,9.37,9.4,30300,9.4
"2010-12-31",9.38,9.5,9.27,9.31,51800,9.31
"2011-01-03",9.47,9.62,9.25,9.29,130900,9.29
"2011-01-04",9.38,9.39,8.78,8.87,186900,8.87
"2011-01-05",8.88,9.18,8.58,9.13,168700,9.13
"2011-01-06",9.17,9.17,8.87,8.99,188900,8.99
"2011-01-07",8.97,9.24,8.87,9.03,127600,9.03
"2011-01-10",8.97,9.2,8.8,9.16,77800,9.16
"2011-01-11",9.18,9.44,9.13,9.2,156800,9.2
